goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkIntsRef-16            	    9523	    106424 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9516	    111241 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9608	    108243 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9672	    108187 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9654	    108711 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   10000	    111119 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   11170	    112160 ns/op	   80007 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   10000	    108591 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9679	    118271 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   11032	    107737 ns/op	   80007 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   10905	    110116 ns/op	   80007 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9433	    121024 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9243	    111582 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9745	    107382 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9757	    106780 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9649	    112309 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9912	    119703 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9320	    109049 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   10000	    106953 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9694	    111598 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9760	    109718 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9508	    109653 ns/op	   80009 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9888	    106867 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9670	    111523 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9600	    107117 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9772	    107475 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	    9607	    107716 ns/op	   80008 B/op	   10000 allocs/op
BenchmarkIntsClosures-16       	     692	   1814731 ns/op	  320237 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     694	   1738179 ns/op	  320201 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     675	   1751866 ns/op	  320243 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     669	   1759322 ns/op	  320157 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     646	   1780728 ns/op	  320157 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     691	   1743924 ns/op	  320147 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     681	   1797261 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     687	   1791992 ns/op	  320148 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     682	   1764612 ns/op	  320150 B/op	   10002 allocs/op
