goos: windows
goarch: amd64
pkg: github.com/zekroTutorials/go-range-benchmarks
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkIntsRef-16            	   13503	     89621 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13128	     89088 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13431	     89780 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13410	     89712 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13328	     90165 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13251	     89934 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13284	     90518 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13228	     89708 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13400	     90239 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13240	     89659 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13369	     91206 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13449	     89831 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13458	     91175 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13401	     89897 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13234	     90733 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13286	     89092 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13226	     89565 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13212	     90711 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13353	     90484 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13297	     89999 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13263	     89072 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13446	     91204 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13093	     90254 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13321	     89679 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13143	     90472 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13472	     89711 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsRef-16            	   13208	     89736 ns/op	   80006 B/op	   10000 allocs/op
BenchmarkIntsClosures-16       	     867	   1353817 ns/op	  320381 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     884	   1352658 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     829	   1368096 ns/op	  320129 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     874	   1389034 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     846	   1371129 ns/op	  320127 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     843	   1365370 ns/op	  320127 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     880	   1363676 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     883	   1363478 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     873	   1364939 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     878	   1361515 ns/op	  320125 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     888	   1364452 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     883	   1369596 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     880	   1359320 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     876	   1356124 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     886	   1363618 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     888	   1361700 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     871	   1364990 ns/op	  320125 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     877	   1364122 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     883	   1376975 ns/op	  320119 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     864	   1380753 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     886	   1356387 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     884	   1373385 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     874	   1365317 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     872	   1364884 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     860	   1364519 ns/op	  320126 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     874	   1360944 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     865	   1365362 ns/op	  320126 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     891	   1357155 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     891	   1355951 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     873	   1375730 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     876	   1360757 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     880	   1361196 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     868	   1369391 ns/op	  320124 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     870	   1365907 ns/op	  320172 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     864	   1382765 ns/op	  320125 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     884	   1371895 ns/op	  320120 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     886	   1353860 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     872	   1369236 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     892	   1360844 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     882	   1361103 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     885	   1369689 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     877	   1359637 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     883	   1363474 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     882	   1360567 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     864	   1376090 ns/op	  320125 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     886	   1367411 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     884	   1365547 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     880	   1366946 ns/op	  320122 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     864	   1369929 ns/op	  320125 B/op	   10002 allocs/op
BenchmarkIntsClosures-16       	     882	   1362700 ns/op	  320123 B/op	   10002 allocs/op
BenchmarkStrings-16            	  532620	      2127 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  555675	      2118 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  566820	      2123 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  557239	      2120 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  549628	      2119 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  551097	      2121 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  543204	      2131 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  542875	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  532261	      2121 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  554594	      2111 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  538383	      2132 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  544237	      2119 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  549181	      2113 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  543788	      2112 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  541838	      2111 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  520125	      2133 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  546405	      2140 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  520525	      2105 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  542433	      2126 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  568366	      2129 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  557104	      2112 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  556376	      2117 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  549626	      2123 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  557840	      2129 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  552906	      2110 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  556180	      2118 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  529027	      2104 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  571430	      2109 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  541110	      2114 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  538776	      2111 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  545449	      2102 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  554433	      2105 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  549484	      2149 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  509594	      2130 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  543822	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  554632	      2116 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  564577	      2121 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  556111	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  549901	      2113 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  570452	      2109 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  525049	      2121 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  562458	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  560119	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  516088	      2100 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  551988	      2114 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  540568	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  549828	      2109 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  569203	      2105 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  569048	      2113 ns/op	       0 B/op	       0 allocs/op
BenchmarkStrings-16            	  544582	      2144 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringsRef-16         	    5188	    211439 ns/op	  160093 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5702	    212186 ns/op	  160084 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5619	    211829 ns/op	  160086 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5300	    209327 ns/op	  160091 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5701	    210956 ns/op	  160085 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5205	    210180 ns/op	  160093 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5599	    213513 ns/op	  160086 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5359	    210729 ns/op	  160090 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5445	    210302 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5565	    211213 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5569	    209919 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    4876	    211997 ns/op	  160099 B/op	   10004 allocs/op
BenchmarkStringsRef-16         	    5428	    209358 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5444	    211329 ns/op	  160088 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5356	    210929 ns/op	  160090 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5444	    213822 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5781	    211968 ns/op	  160083 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5701	    211837 ns/op	  160085 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5704	    211031 ns/op	  160085 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5728	    211653 ns/op	  160084 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5422	    212986 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5574	    211036 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5560	    210828 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5444	    212556 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5547	    211739 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5390	    210922 ns/op	  160090 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5569	    212351 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5496	    215647 ns/op	  160088 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5509	    210581 ns/op	  160088 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5575	    211204 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5485	    209651 ns/op	  160088 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5288	    211009 ns/op	  160091 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5454	    214499 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5512	    213780 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5482	    212279 ns/op	  160088 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5574	    209961 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5556	    210897 ns/op	  160087 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5804	    213251 ns/op	  160083 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5430	    211806 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5445	    211031 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5360	    211538 ns/op	  160090 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5580	    210030 ns/op	  160086 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    6020	    212013 ns/op	  160080 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5322	    213235 ns/op	  160091 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5042	    212952 ns/op	  160096 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5510	    210287 ns/op	  160088 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5407	    211443 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5432	    212369 ns/op	  160089 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5719	    210927 ns/op	  160084 B/op	   10003 allocs/op
BenchmarkStringsRef-16         	    5196	    209904 ns/op	  160093 B/op	   10003 allocs/op
BenchmarkStringsClosures-16    	     868	   1422822 ns/op	  480591 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     865	   1387372 ns/op	  480596 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     849	   1398139 ns/op	  480605 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     834	   1394198 ns/op	  480615 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     854	   1401915 ns/op	  480602 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     859	   1394801 ns/op	  480599 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     855	   1406591 ns/op	  480603 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     828	   1397180 ns/op	  480620 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     856	   1401539 ns/op	  480600 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     846	   1401030 ns/op	  480607 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     847	   1403437 ns/op	  480606 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     866	   1405838 ns/op	  480594 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     870	   1396330 ns/op	  480591 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     861	   1396542 ns/op	  480598 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     859	   1406417 ns/op	  480598 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     860	   1397150 ns/op	  480596 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     843	   1396026 ns/op	  480609 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     865	   1396813 ns/op	  480593 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     855	   1400743 ns/op	  480600 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     843	   1387645 ns/op	  480609 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     855	   1385119 ns/op	  480601 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     847	   1396113 ns/op	  480606 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     852	   1401916 ns/op	  480603 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     828	   1397354 ns/op	  480619 B/op	   10025 allocs/op
BenchmarkStringsClosures-16    	     865	   1393103 ns/op	  480595 B/op	   10024 allocs/op
BenchmarkStringsClosures-16    	     860	   1396783 ns/op	  480599 B/op	   10025 allocs/op
