goos: linux
goarch: amd64
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
BenchmarkInts-16               	  528703	      2313 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  525940	      2272 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  528854	      2298 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  525135	      2310 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  512019	      2374 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  520411	      2319 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  519880	      2349 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  477468	      2357 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  498844	      2380 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  476404	      2531 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  505836	      2337 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  526562	      2288 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  519789	      2303 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  522367	      2287 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  527300	      2296 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  521674	      2300 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  525841	      2306 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  522637	      2289 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  517944	      2275 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  523844	      2279 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  525614	      2275 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  526568	      2301 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  524588	      2278 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  513496	      2305 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  525522	      2297 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  523353	      2297 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  515774	      2303 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  520855	      2314 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  520452	      2303 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  524760	      2297 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  520023	      2390 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  488293	      2300 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  515347	      2332 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  514736	      2308 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  521158	      2322 ns/op	       0 B/op	       0 allocs/op
