goos: windows
goarch: amd64
pkg: github.com/zekroTutorials/go-range-benchmarks
cpu: AMD Ryzen 7 5800X 8-Core Processor             
BenchmarkInts-16               	  567254	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  544606	      2092 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  573832	      2104 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  598936	      2116 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  584216	      2107 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  569814	      2109 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583470	      2088 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  580969	      2097 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  582772	      2100 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  598190	      2106 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570775	      2103 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570618	      2120 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  584444	      2092 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  572054	      2098 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570187	      2099 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583640	      2100 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556537	      2096 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570729	      2084 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  589272	      2102 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  555007	      2108 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  569970	      2094 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  584746	      2107 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  554918	      2103 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556972	      2097 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  564105	      2099 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  579502	      2094 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  569751	      2085 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  584049	      2090 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556603	      2089 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  577884	      2092 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583663	      2100 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583422	      2097 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570558	      2089 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556764	      2091 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  557762	      2096 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  569581	      2098 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583268	      2087 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  569505	      2095 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583796	      2102 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570390	      2098 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  572754	      2095 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583164	      2095 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  582908	      2091 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  566368	      2087 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  541410	      2090 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570456	      2094 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  556488	      2104 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570493	      2097 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  570602	      2089 ns/op	       0 B/op	       0 allocs/op
BenchmarkInts-16               	  583611	      2095 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  588477	      2101 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  555364	      2104 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  569397	      2123 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  569408	      2094 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  584367	      2093 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  583753	      2102 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  556975	      2099 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  569175	      2095 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  557037	      2094 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  556789	      2095 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  546271	      2088 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  570238	      2092 ns/op	       0 B/op	       0 allocs/op
BenchmarkIntsRef-16            	  557408	      2101 ns/op	       0 B/op	       0 allocs/op
